Country,Latitude,Longitude
Switzerland,46.7985624,8.2319736
Argentina,-34.9964963,-64.9672817
Liechtenstein,47.1416307,9.5531527
Tunisia,33.8439408,9.400138
Ghana,8.0300284,-1.0800271
Honduras,15.2572432,-86.0755145
Saint Vincent and the Grenadines,12.90447,-61.2765569
China,35.000074,104.999927
Senegal,14.4750607,-14.4529612
South Sudan,7.8699431,29.6667897
"Korea, Republic of",38.2336866,127.0087307
Turks and Caicos Islands,21.721746,-71.5527809
Bahrain,26.1551249,50.5344606
Suriname,4.1413025,-56.0771187
Saint Kitts and Nevis,17.250512,-62.6725973
Grenada,12.1360374,-61.6904045
Timor-Leste,-8.7443169,126.063482
Russian Federation,64.6863136,97.7453061
Myanmar,17.1750495,95.9999652
Latvia,56.8406494,24.7537645
Luxembourg,49.8158683,6.1296751
Greece,38.9953683,21.9877132
Cameroon,4.6125522,13.1535811
Marshall Islands,8.230817,167.7953224
Cyprus,34.9823018,33.1451285
Bahamas,24.7736546,-78.0000547
Comoros,-12.2045176,44.2832964
"Kosovo, Republic of",42.6631027,21.1646371
"Bonaire, Sint Eustatius and Saba",12.21286,-68.29445
Saint Lucia,13.8250489,-60.975036
Gambia,13.470062,-15.4900464
Mayotte,-12.823048,45.1520755
United States,39.7837304,-100.445882
Australia,-24.7761086,134.755
Armenia,40.7696272,44.6736646
Colombia,4.099917,-72.9088133
France,46.603354,1.8883335
Bolivia,-17.0568696,-64.9912286
Guam,13.4499943,144.7651677
Jamaica,18.1850507,-77.3947693
Cambodia,12.5433216,104.8144914
Eritrea,15.9500319,37.9999668
Fiji,-18.1239696,179.0122737
Trinidad and Tobago,10.7466905,-61.0840075
Nauru,-0.5252306,166.9324426
Haiti,19.1399952,-72.3570972
Montenegro,42.9868853,19.5180992
Oman,21.0000287,57.0036901
Costa Rica,10.2735633,-84.0739102
Afghanistan,33.7680065,66.2385139
Antarctica,-79.4063075,0.3149312
Norway,61.1529386,8.7876653
Sri Lanka,7.5554942,80.7137847
Angola,-11.8775768,17.5691241
Faroe Islands,62.0448724,-7.0322972
Botswana,-23.1681782,24.5928742
Hong Kong,22.2793278,114.1628131
Ukraine,49.4871968,31.2718321
Burkina Faso,12.0753083,-1.6880314
Barbados,13.1500331,-59.5250305
Sierra Leone,8.6400349,-11.8400269
Austria,47.59397,14.12456
Isle of Man,54.1936805,-4.5591148
Guinea,10.7226226,-10.7083587
Denmark,55.670249,10.3333283
Finland,63.2467777,25.9209164
Svalbard and Jan Mayen,78.7198519,20.3493328
Algeria,28.0000272,2.9999825
Azerbaijan,40.3936294,47.7872508
Sudan,14.5844444,29.4917691
Antigua and Barbuda,17.2234721,-61.9554608
Anguilla,18.1954947,-63.0750234
Belgium,50.6402809,4.6667145
Martinique,14.6113732,-60.9620777
Samoa,-13.7693895,-172.12005
Morocco,31.1728205,-7.3362482
Georgia,32.3293809,-83.1137366
Egypt,26.2540493,29.2675469
Mozambique,-19.302233,34.9144977
Dominican Republic,19.0974031,-70.3028026
Cape Verde,16.0000552,-24.0083947
Chile,-31.7613365,-71.3187697
Lebanon,33.8750629,35.843409
Belarus,53.4250605,27.6971358
Brunei Darussalam,4.4137155,114.5653908
New Caledonia,-21.3019905,165.4880773
Seychelles,-4.6574977,55.4540146
French Polynesia,-17.0243749,-144.6434898
Togo,8.7800265,1.0199765
Tajikistan,38.6281733,70.8156541
Brazil,-10.3333333,-53.2
Yemen,16.3471243,47.8915271
Gabon,-0.8999695,11.6899699
Saint Pierre and Miquelon,46.8374544,-56.2120555
"Congo, Democratic Republic of the",-2.9814344,23.8222636
American Samoa,-14.297124,-170.7131481
Guyana,4.8417097,-58.6416891
"Moldova, Republic of",47.0273122,28.8263398
Liberia,5.7499721,-9.3658524
